,Client Birthdate,Client Monthly Income,Loan Start Date,Loan Due Date,Loan Amount,Loan Purpose,Client IBAN,Client Status,Paid in time
84,17/8/1994,3919.69,3/5/2015,3/5/2015,10000,others,BE9380125560404977,female : single,YES
85,28/5/1967,1802.65,19/9/2014,20/5/2016,1000,others,FR5395382025784298,male : divorced/separated,YES
86,30/11/1973,4390.3,22/8/2016,21/1/2017,3000,others,BE1663154927164240,male : single,YES
87,12/6/1960,2875.37,25/12/2015,24/11/2016,1500,retraining,DE4389388321389900,male : single,YES
88,10/10/1999,1983.19,21/11/2016,22/10/2017,8000,education,CH5011017372763846,female : single,YES
89,24/6/1955,3501.81,8/3/2016,7/6/2017,8000,retraining,DE6327578537750849,male : divorced/separated,YES
90,15/2/1951,19553.94,3/2/2015,3/2/2015,10000,domestic appliances,BE377016650110457,male : single,YES
91,27/10/1972,4244.62,20/6/2016,19/8/2017,10000,busines,DE4933026818891893,female : single,YES
92,11/11/1956,1022.94,9/6/2015,9/12/2015,6000,retraining,BE4480341103337944,male : single,YES
93,2/12/1977,4319.72,24/2/2014,24/2/2016,2000,retraining,DE1668530152676263,male : divorced/separated,YES
94,28/1/1961,17753.81,29/3/2015,27/7/2016,500,repairs,FR9593366247676507,male : married/widowed,YES
95,1/11/1964,5144.84,15/6/2017,14/9/2017,8000,car (new),ES1899853651266770,female : single,YES
96,2/4/1989,2233.82,11/1/2014,11/1/2015,6000,vacation,DE3093614845954921,female : single,YES
97,21/11/1983,1717.11,20/4/2017,21/5/2018,1000,car (new),CH8376351216718735,male : single,YES
98,29/5/1997,3814.48,1/9/2016,2/4/2018,8000,car (new),CH9550708854330976,male : divorced/separated,YES
99,16/7/1940,20741.5,3/4/2016,4/7/2017,8000,others,DE1516924699007063,male : single,YES
100,18/4/1952,23798.62,22/8/2016,23/4/2017,2000,None,CH5446411084833960,male : married/widowed,YES
101,14/7/1963,1291.89,18/2/2014,19/6/2015,6000,business,CH8459529580874096,male : married/widowed,YES
102,2/7/1962,3382.02,17/3/2015,16/4/2015,10000,others,DE2669081181097024,male : married/widowed,YES
103,23/2/1997,3179.77,24/7/2016,24/5/2017,1000,others,ES8581266037640185,male : married/widowed,YES
104,26/4/1950,3218.54,17/10/2016,17/10/2016,1000,domestic appliances,DE215082051057227,female : divorced/separated/married,YES
105,3/2/1950,1252.34,25/10/2016,25/6/2018,3000,retraining,CH4189491933863921,male : single,YES
106,28/12/1998,1940.14,24/3/2017,23/12/2017,1500,business,BE7022319936561914,male : single,YES
107,11/5/1991,4285.28,24/11/2016,24/1/2018,1000,domestic appliances,ES340114729516683,female : single,YES
108,30/8/1993,3047.46,7/12/2017,7/10/2019,8000,None,BE6285838956972039,male : single,YES
109,1/6/1995,1477.34,3/3/2015,1/8/2016,2000,retraining,FR1734599075249040,female : divorced/separated/married,YES
110,19/11/1977,2387.09,11/5/2015,8/9/2016,500,others,FR3313367940679455,male : divorced/separated,YES
111,28/3/1969,3804.26,21/4/2013,20/10/2014,8000,car (new),FR766774176878091,male : single,YES
112,17/2/1954,1740.05,31/3/2016,30/10/2017,500,car (new),DE1930687994712034,male : single,YES
113,9/7/1976,None,18/7/2016,31/8/2017,8000,domestic appliances,CH9730785414734812,female : divorced/separated/married,YES
114,8/3/1983,2581.62,9/3/2016,8/11/2017,4000,retraining,FR8955891568931685,male : divorced/separated,YES
115,20/2/1986,6024.31,4/11/2017,4/11/2018,1000,radio/television,DE8285777068710276,male : divorced/separated,YES
116,22/5/1985,3402.8,18/5/2017,17/12/2018,500,retraining,CH3849671716020450,male : divorced/separated,YES
117,11/12/1942,3973.28,8/10/2016,9/3/2018,8000,others,DE1954773181667134,male : divorced/separated,YES
118,27/8/1987,5438.12,21/7/2014,20/11/2014,1000,car (new),BE5260138036061361,female : single,YES
119,1/1/1900,1814.25,16/11/2015,16/1/2016,5000,others,DE1728681246077437,female : divorced/separated/married,YES
120,3/6/1950,2632.19,2/6/2013,2/7/2013,3000,radio/television,ES9607766917946329,None,YES
121,31/3/1943,2922.57,31/5/2015,28/11/2016,500,None,FR5360443537330083,None,YES
122,13/3/1992,-245.47,3/6/2017,2/12/2018,1000,radio/television,DE9346867126930097,female : single,YES
123,19/11/1976,4594.21,8/3/2014,26/3/2016,8000,radio/television,CH8386470438188876,female : divorced/separated/married,YES
124,10/1/1988,3141.62,23/5/2017,21/11/2017,10000,radio/television,FR4823416527734017,male : married/widowed,YES
125,4/4/1977,4729.48,13/5/2013,12/7/2014,1500,None,FR6294733078122147,female : single,YES
126,5/10/1950,1484.02,2/10/2015,31/12/2016,4000,others,DE2321186524451932,male : single,YES
127,24/10/1971,1173.08,23/6/2014,23/12/2015,10000,others,DE8376680118778499,male : divorced/separated,YES
128,22/3/1944,4034.13,16/12/2014,16/11/2015,500,car (new),CH8640023806608377,male : divorced/separated,NO
129,10/10/1980,2611.35,1/10/2014,1/10/2014,1000,retraining,DE1938023055985950,male : single,YES
130,26/11/1991,-6827.99,18/8/2014,7/10/2017,1000,others,CH1490529209088652,male : divorced/separated,YES
131,3/3/1981,3293.08,13/1/2017,14/4/2017,1000,repairs,DE4235413364751429,female : divorced/separated/married,YES
132,31/3/1960,2162.67,30/12/2017,30/9/2018,500,others,FR450023273083352,female : divorced/separated/married,YES
133,16/10/1961,3308.26,15/9/2017,15/10/2017,4000,None,DE4759242891314418,male : single,YES
134,16/2/1992,3373.26,3/7/2017,1/11/2018,2000,business,CH9300258888322078,female : divorced/separated/married,YES
135,24/5/1944,25595.26,27/9/2017,28/7/2019,2000,None,DE2181765561733797,None,YES
136,25/7/1980,22406.41,30/12/2014,1/7/2015,1500,domestic appliances,ES6964970347470478,female : divorced/separated/married,YES
137,9/4/1940,2245.04,1/9/2016,1/1/2017,8000,vacation,CH5951824486544018,female : divorced/separated/married,YES
138,1/1/1900,5324.84,9/12/2016,9/8/2018,3000,others,BE4601903503793773,male : single,YES
139,15/1/1983,None,18/7/2016,17/12/2016,6000,others,DE1197438547423358,female : single,YES
140,1/1/1955,3654.69,14/12/2015,13/10/2016,8000,busines,BE664431514451707,female : single,YES
141,25/2/1992,6354.6,30/8/2016,30/7/2018,3000,retraining,DE4120057815229975,None,YES
142,20/10/1957,971.29,23/10/2014,23/12/2014,6000,others,DE5346084988773453,female : divorced/separated/married,YES
143,22/10/1974,1440.9,25/6/2017,25/6/2017,5000,car (new),DE503469031072711,male : divorced/separated,YES
144,8/7/1949,3165.45,14/7/2016,14/8/2016,3000,education,DE5804342253296020,None,YES
145,24/4/1949,None,11/12/2017,11/8/2019,8000,others,ES6268435380287190,female : divorced/separated/married,YES
146,14/9/1956,3407.83,10/10/2017,11/3/2018,4000,business,CH5602484409228717,male : single,YES
147,23/7/1951,2466.98,28/9/2013,28/1/2014,1000,busines,BE7018077110785801,male : divorced/separated,YES
148,16/7/1984,None,2/9/2014,10/10/2017,5000,vacation,DE8725202875122268,None,YES
149,17/12/1967,4569.58,11/3/2014,25/7/2014,500,others,FR3753206260064498,female : single,YES
150,6/11/1977,None,9/2/2013,11/10/2013,3000,car (new),DE1396553686562979,female : divorced/separated/married,YES
151,26/6/1958,4050.97,8/8/2013,8/9/2014,8000,domestic appliances,FR7988635083342409,female : divorced/separated/married,NO
152,31/10/1948,3487.87,19/4/2017,19/8/2018,5000,car (new),DE1041622338527733,female : divorced/separated/married,NO
153,25/3/1957,20484.85,20/5/2013,20/7/2014,4000,retraining,DE4736561550104643,male : single,YES
154,27/5/1951,3266.1,15/11/2017,16/8/2019,3000,business,DE9659780356361303,female : single,YES
155,20/2/1948,3814.11,28/10/2017,28/6/2019,1500,retraining,BE4593055243995534,female : divorced/separated/married,YES
156,9/3/1959,2723.11,25/8/2016,25/12/2016,6000,others,BE8235342481996514,male : divorced/separated,YES
157,31/12/1996,4002.85,13/8/2016,12/1/2017,10000,car (new),DE6817318705048288,male : married/widowed,YES
158,18/11/1941,3573.59,15/3/2014,14/11/2015,1000,vacation,DE4555547026971884,male : single,YES
159,31/1/1968,5449.07,19/3/2016,17/1/2018,1000,radio/television,DE6167537668285167,female : single,YES
160,7/6/1987,2348.68,21/1/2016,22/5/2016,4000,business,BE3352186215586476,female : divorced/separated/married,YES
161,2/3/1959,1990.84,3/6/2016,3/12/2016,8000,business,FR2311282251337141,male : single,NO
162,2/2/1976,3402.01,19/8/2017,19/11/2017,5000,repairs,FR5422603198083264,male : divorced/separated,YES
163,11/9/1940,18003.86,18/11/2017,18/1/2018,6000,furniture/equipment,DE1882749951321271,male : single,NO
164,17/1/1948,2535.26,8/3/2015,6/1/2017,2000,furniture/equipment,CH7418692158286974,None,YES
165,3/11/1980,1675.18,19/4/2014,17/6/2015,4000,car (new),CH2276878388511532,male : married/widowed,YES
166,8/9/1944,993.64,13/2/2014,15/7/2015,5000,car (used),DE588717429880544,male : married/widowed,YES
167,7/3/1953,3219.69,26/11/2014,26/12/2015,4000,repairs,DE4521669472887293,female : single,YES
168,22/1/1966,2509.55,5/10/2014,6/3/2015,10000,repairs,ES7736595988913857,male : single,YES
169,31/10/1975,2261.51,16/11/2014,16/11/2014,2000,radio/television,CH2815070846196002,female : single,YES
170,11/2/1973,3549.64,25/3/2016,24/6/2016,1000,car (new),DE4591726376063056,male : single,YES
171,25/11/1997,18818.42,26/11/2014,25/11/2016,4000,vacation,DE7273370031082761,female : divorced/separated/married,YES
172,15/8/1978,1538.01,27/12/2017,25/2/2019,2000,repairs,FR786037071625809,female : divorced/separated/married,NO
173,9/8/1989,3244.12,21/3/2013,20/12/2013,3000,radio/television,CH6443560122123577,male : single,YES
174,6/3/1989,923.85,7/10/2015,6/10/2017,1000,None,CH5768930368888414,female : single,YES
175,11/11/1941,None,24/12/2015,23/4/2017,500,others,DE1243640656744660,female : single,YES
176,9/5/1980,1957.3,15/2/2017,17/7/2018,6000,None,DE3898637394514865,female : divorced/separated/married,YES
177,7/9/1984,2564.97,24/5/2013,23/12/2013,8000,car (new),DE7317098610708848,male : married/widowed,YES
178,7/12/1964,4903.73,13/3/2015,12/3/2016,5000,others,BE8901272762166860,male : married/widowed,YES
179,5/12/1949,1940.61,16/1/2015,16/10/2016,2000,others,FR8363900665177497,male : single,YES
180,27/2/1969,3312.29,7/11/2015,6/8/2017,3000,repairs,DE3075376702060401,male : single,YES
181,16/2/1950,2343.24,21/4/2015,19/11/2016,4000,others,FR6878982082467910,None,YES
182,14/10/1943,4210.51,17/1/2013,18/7/2013,6000,retraining,DE8782784446159861,None,YES
183,15/6/1965,4112.73,1/5/2016,1/5/2016,3000,car (new),FR3345570310661750,male : divorced/separated,YES
184,3/12/1963,1812.17,13/6/2017,13/4/2018,8000,None,FR4566507980365771,None,YES
185,8/5/1990,26678.83,22/11/2013,23/4/2015,3000,radio/television,DE5583330071396043,female : divorced/separated/married,YES
186,27/2/1990,1853.69,21/12/2013,23/5/2014,500,domestic appliances,DE9348949007182409,male : married/widowed,YES
187,13/7/1955,1539.51,26/12/2016,25/1/2018,4000,repairs,ES2496680290030312,None,YES
188,4/9/1954,3729.83,2/11/2014,2/8/2015,4000,None,FR2426177094208844,None,YES
189,23/12/1995,4014.39,6/1/2013,7/5/2014,1500,others,DE7743716240812300,male : married/widowed,YES
190,24/4/1971,3141.47,16/10/2015,16/3/2017,1500,car (new),FR2864558357500264,male : married/widowed,YES
191,18/10/1996,4527.88,13/3/2014,12/12/2015,3000,car (new),DE7852731773377957,female : divorced/separated/married,YES
192,14/12/1967,None,12/1/2016,12/7/2016,4000,car (used),DE8249910763991955,female : divorced/separated/married,YES
193,16/10/1979,1437.69,3/4/2017,3/4/2018,500,retraining,DE6034789845556300,male : single,YES
194,27/12/1970,20029.73,27/11/2016,28/8/2017,5000,vacation,DE1228364189217767,male : single,YES
195,17/2/1958,3014.58,21/6/2017,21/4/2019,6000,radio/television,BE7492435351643615,male : married/widowed,YES
196,10/10/1972,2576.07,16/3/2016,15/10/2016,5000,car (new),DE6962246537925526,male : divorced/separated,YES
197,10/6/1955,3142.33,30/11/2017,1/6/2019,5000,repairs,DE479721018593540,male : married/widowed,YES
198,15/7/1976,None,20/5/2016,20/3/2017,500,furniture/equipment,DE9101285277450740,female : single,YES
199,24/10/1973,3726.25,13/2/2017,15/3/2018,1500,vacation,FR3699066482804585,female : single,YES
200,14/11/1997,2038.0,26/7/2014,24/1/2015,1000,repairs,ES5762598383862919,female : single,YES
201,16/11/1994,None,8/6/2016,7/11/2017,4000,others,BE3295685108489206,female : divorced/separated/married,YES
202,8/10/1973,3561.32,18/1/2016,17/9/2016,3000,retraining,CH678103039903427,male : married/widowed,YES
203,23/9/1957,2264.03,2/10/2017,2/10/2017,6000,vacation,DE5542086482857202,male : divorced/separated,YES
204,10/1/1995,4394.79,13/7/2014,12/8/2015,2000,car (new),CH4473050161382436,male : married/widowed,YES
205,9/9/1992,2380.9,17/10/2016,17/11/2016,1000,domestic appliances,FR5992218935994223,male : divorced/separated,YES
206,20/3/1977,3608.56,10/11/2017,10/11/2018,1500,vacation,FR7429853906648108,None,NO
207,17/3/1968,2828.02,27/5/2014,25/2/2015,5000,busines,DE7207897425676216,None,YES
208,21/11/1948,1085.25,11/11/2016,11/1/2018,5000,retraining,FR7113331128676481,female : divorced/separated/married,YES
209,26/11/1952,2994.84,10/6/2016,11/5/2017,1000,car (new),FR2218418587155352,male : divorced/separated,YES
210,10/12/1994,-5082.21,3/11/2013,3/11/2013,6000,retraining,DE1417121044702145,female : divorced/separated/married,YES
211,29/1/1994,4171.01,6/1/2017,6/11/2017,1500,others,CH8950558936106124,male : divorced/separated,YES
212,24/8/1959,3874.62,28/11/2015,28/10/2017,1500,others,CH2891688650818065,male : divorced/separated,YES
213,9/12/1973,None,24/5/2017,24/3/2018,1000,others,BE6693446332342147,male : single,YES
214,12/5/1993,1029.75,20/8/2014,19/2/2017,1500,radio/television,FR801245434701318,male : single,YES
215,9/10/1953,4123.29,12/5/2016,11/9/2017,500,furniture/equipment,CH6636508330327506,male : divorced/separated,YES
216,13/4/1953,3850.74,7/1/2013,8/9/2013,5000,business,DE1315275506918642,female : single,YES
217,22/2/1945,4408.47,10/1/2014,11/4/2015,1000,business,CH8845836169674069,None,YES
218,28/12/1962,8950.96,23/3/2016,22/10/2016,3000,car (new),CH6240317190526036,None,YES
219,28/11/1978,2749.54,14/3/2014,13/10/2014,1000,car (new),FR1338253888686708,female : single,YES
220,17/1/1991,2819.21,10/11/2017,11/5/2019,2000,retraining,CH9964699751244146,male : single,NO
221,16/7/1974,3355.95,6/7/2015,6/12/2015,1500,car (new),DE5673756142964245,female : single,YES
222,1/5/1987,2713.15,16/5/2013,16/4/2015,500,car (used),DE5224400587523590,female : divorced/separated/married,YES
223,4/6/1986,9789.83,19/9/2014,19/12/2014,6000,furniture/equipment,DE7146680838959190,female : divorced/separated/married,YES
224,22/3/1996,4104.95,18/9/2013,19/10/2014,2000,car (used),DE9554643164243533,female : single,YES
225,4/7/1993,2938.58,8/3/2017,6/1/2019,4000,repairs,CH6868308223390216,male : married/widowed,YES
226,6/7/1991,2299.4,7/2/2016,7/11/2016,1500,car (new),CH9185859569062908,None,YES
227,11/1/1948,4692.34,7/1/2016,6/1/2017,2000,radio/television,DE4936309318993125,male : divorced/separated,YES
228,16/6/1940,4626.32,12/2/2014,13/9/2015,5000,others,BE8623764820637321,male : single,YES
229,1/5/1946,2409.94,9/10/2017,10/7/2019,500,domestic appliances,FR3081081479443266,male : divorced/separated,YES
230,23/8/1993,1855.12,7/3/2016,7/5/2016,8000,others,ES487327767598405,female : divorced/separated/married,YES
231,25/11/1973,21039.03,27/12/2015,27/4/2017,2000,vacation,ES5877004607338214,None,YES
232,23/8/1942,3447.39,14/9/2015,14/9/2015,1500,car (new),DE4940326106091358,male : divorced/separated,YES
233,15/8/1968,2906.76,4/2/2014,4/2/2016,6000,radio/television,DE7883954974780808,male : married/widowed,YES
234,16/8/1963,3611.16,26/10/2017,3/7/2013,3000,business,DE3245605503272723,male : divorced/separated,YES
235,10/8/1994,5450.42,13/7/2016,13/5/2018,1000,domestic appliances,FR2729234882030831,female : divorced/separated/married,YES
236,23/7/1943,3232.34,25/11/2015,26/5/2016,10000,others,FR214969251657008,female : single,YES
237,8/6/1985,3777.59,31/12/2013,2/7/2014,3000,car (new),CH7878178362330497,male : divorced/separated,YES
238,4/7/1957,2229.06,4/11/2013,3/2/2014,8000,car (new),CH2822063851407010,male : divorced/separated,YES
239,2/5/1977,2794.14,31/7/2016,5/6/2016,3000,business,FR3960759167117126,male : single,YES
240,28/6/1959,2878.96,6/2/2013,7/12/2014,4000,repairs,DE3667603146278000,male : divorced/separated,YES
241,26/1/1953,3110.96,6/6/2015,5/7/2016,10000,business,FR7060888238683917,female : single,YES
242,1/6/1949,13457.52,7/3/2017,25/5/2016,500,car (used),BE134024800428268,male : single,YES
243,10/11/1999,4638.51,19/4/2015,17/11/2016,10000,retraining,FR1683118821687011,female : single,YES
244,31/7/1998,4113.35,21/2/2016,22/6/2016,10000,None,DE4534219848694574,male : divorced/separated,YES
245,10/11/1972,3274.48,5/7/2016,5/7/2016,5000,others,BE8935952515164898,male : married/widowed,YES
246,28/6/1970,1324.42,19/8/2013,19/8/2013,500,business,CH507083732985400,male : divorced/separated,YES
247,5/11/1940,3815.11,1/10/2015,1/3/2017,4000,repairs,CH7224664475213498,male : divorced/separated,YES
248,31/10/1956,1706.62,13/5/2017,12/10/2018,1500,radio/television,FR335570854610493,male : married/widowed,YES
249,29/1/1951,2051.68,10/8/2014,10/10/2015,500,furniture/equipment,ES7659003758688434,male : married/widowed,YES
250,23/12/1981,2861.35,30/11/2016,30/11/2018,4000,None,ES7721647742002028,male : divorced/separated,YES
251,12/6/1941,1448.0,15/5/2016,15/5/2018,1500,business,DE8036475892958360,male : single,YES
252,17/10/1970,3779.24,20/10/2015,5/7/2017,8000,retraining,DE7973805623977404,male : single,YES
253,22/12/1964,1611.29,4/11/2013,5/12/2013,6000,education,DE774414646141517,female : single,YES
254,24/3/1995,2928.51,6/7/2015,3/1/2017,500,radio/television,DE2202131506721720,female : divorced/separated/married,YES
255,28/2/1979,1613.89,5/3/2014,4/3/2016,500,retraining,DE5095650280447328,male : divorced/separated,YES
256,5/8/1953,3814.3,16/1/2015,16/5/2016,1500,retraining,FR9272075949754745,male : divorced/separated,YES
257,2/3/1962,3538.31,17/9/2013,17/9/2014,8000,domestic appliances,FR623306151952640,female : single,YES
258,19/5/1948,3400.16,22/6/2017,22/10/2018,6000,radio/television,ES4431359280044108,female : divorced/separated/married,YES
259,3/3/1958,2028.57,12/2/2017,14/10/2017,1500,retraining,FR6273248930038941,male : married/widowed,YES
260,12/2/1954,9944.6,22/6/2016,22/6/2017,8000,furniture/equipment,CH4717170466768563,None,YES
261,26/10/1967,None,21/3/2015,20/8/2015,3000,domestic appliances,DE1653415090734626,female : divorced/separated/married,YES
